question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,correct_choice,,,,,,,,,,,,,,,
 How many significant figures present in 0.00123,,easy,Significant figures are the number of digits excluding the zero from the start,,20,3,6,4,5,1,,,,,,,,,,,,,easy,moderate,difficult
A zero digit in any measurement can be,,moderate,If zero comes in the middle or end like 202 and 200 are considered to be significant. But zero are the start are not considered to be significant like in the previous MCQ,,20,always significant,always non significant,can be significant and non significant,None,3,,,,,,,,,,,,,,,
"In order to reduced random error, we 
",,moderate,The random error is the slight variation in the measurements varies from instrument to instrument. In order to reduce we take the mean of several measurements,,20,take mean of several measurements,compare the instrument with more accurate one,take zero correction,All of these,1,,,,,,,,,,,,1,2,3,4
"An error in the measurement is the result of
",,easy,"Error is the dispersion from the mean or actual value of any measurements. It could be caused due to inexperience person, instrumental error and inappropriate method.",,20,Inexperienced person,"Instrument error",Inappropriate method, All of these,4,,,,,,,,,,,,,,,
"Complete the following
1 deca=____",,easy,"Deca is a prefix which is equal to
1 deca $=10^{1}$",,20,$10^1$,$10^2$,$10^12$,$10^-1$,1,,,,,,,,,,,,,,,
 Scientific notation of 1567 is,,moderate,"It can be written as
1567.00 Now we need to move the decimal points to the left, right between 1 and 5.
So it can be written as  $1.5 \times10^{3}$",,20,$1.5 \times $10^{3}$,$2^12$,0.000087,1 / 0.000087,1,,,,,,,,,,,,,,,
"The dimension of strain is
",,easy," As we know that 
M is the dimension for unit “kg”
L is the dimension for unit “meter”
Strain = change in length/ original length
So it is unit less as it is a ratio of two similar quantities",,20,$\left[\mathrm{M}^{\circ} \mathrm{L}^{0}\right]$,$\left[\mathrm{M}^{1} \mathrm{L}^{0}\right]$,$\left[\mathrm{M}^{\circ} \mathrm{L}^{1}\right]$,$\left[\mathrm{M}^{1} \mathrm{L}^{1}\right]$,1,,,,,,,,,,,,,,,
"\left(5.0 \times 10^{6}\right) \times\left(5.0 \times 10^{6}\right) can be written as
",,difficult,"By multiplying both we get
\[
25 \times 10^{12}
\]
Now we need to move the decimal point between 2 and $5,$ so add one in power of 10
So $2.5 \times 10^{13}$",,20,2.5 \times 10^{12},2.5 \times 10^{11},2.5 \times 10^{13},2.5 \times 10^{12},3,,,,,,,,,,,,,,,
 Which of the following has the highest power,,moderate,"the power of prefix is given as under
1 giga $=10^{9}$
$1 \mathrm{kilo}=10^{3}$
peta $=10^{15}$
$1 \mathrm{mega}=10^{\circ}$",,20,giga,peta,kilo,mega,2,,,,,,,,,,,,,,,
 Steradian is a supplementary unit used for,,easy,Sterradian is neither included in Base unit nor in Derived unit. Sterradian is included in supplementary unit which is a unit used for solid angle.,,20,plane angle,Both solid and plane,solid angle,C,3,,,,,,,,,,,,,,,
SI unit for coefficient of viscosity,,moderate,"We know that
$\mathrm{F}=6 \pi \mathrm{n} \mathrm{r} \mathrm{v}$
Where $F$ represents force, $r$ is the radius, $v$ means velocity and $n$ is the viscosity constant
$\mathrm{n}=\mathrm{F} / 6 \pi \mathrm{rv}$
$\mathrm{n}=\mathrm{kgms}^{-2} \mathrm{m}^{-1} \mathrm{m}^{-1} \mathrm{s}^{1}$
$\mathrm{n}=\mathrm{kgm}^{-1} \mathrm{s}^{-1}$",,20,$\mathrm{kg} \mathrm{m}^{-1} \mathrm{s}^{-1}$,$\mathrm{kg} \mathrm{m} \mathrm{s}^{-3}$,$\mathrm{kg} \mathrm{m}^{-2} \mathrm{s}^{-2}$,$\mathrm{kg} \mathrm{m}^{2} \mathrm{s}^{-3}$,1,,,,,,,,,,,,,,,
 Smaller the least count of the measurement more is the measurement,,easy,In order to measure the quantity with more precision we are required to increase the least count of the measurement,,20,precise,uncertain,accurate,None of these,1,,,,,,,,,,,,,,,
SI unit for temperature,,moderate,"Standard international unit for temperature is Kelvin.",,20,kelvin,Degree Fahrenheit,Degree C,Degree kelvin,1,,,,,,,,,,,,,,,
 Which pair has the same dimension,,moderate,"So there are three quantities work, energy and torque
We know that
W = Fd = Joule
E = KE + PE = Fd= Joule
E is the total energy KE means kinetic energy and PE is the potential energy
Torque = rF = Nm =Joule 
r represents moment arm
So all have same units",,20,"work, energy","work, torque","energy, torque",All are correct,4,,,,,,,,,,,,,,,
