question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,1,easy
Which option correctly states the difference between diffusion and effusion?,,difficult,"Effusion occurs when the size or aperture of the hole is smaller than the mean free path of the molecules. Diffusion happens when there are no holes or if holes in the barrier are larger than the mean free path. During effusion, particles move faster than diffusion because there is no collision between molecules.",,49,Effusion occurs when the size or aperture of the hole is larger than the mean free path of the molecules.,During diffusion particles move faster than diffusion because there is collision between molecules,During effusion particles move faster than diffusion because there is no collision between molecules,Diffusion happened when the holes in the barrier are larger than the mean free path,,,,,3,,2,moderate
Which one has the highest density at room temperature?,,moderate, Molecule having the highest molecular mass will have the highest density at room temperature. Carbon dioxide has the highest density at room temperature because it has the highest molar mass = 44,,49,$\mathrm{CO}$,Ne,$\mathrm{NH}_{3}$,$\mathrm{CO}_{2}$,,,,,4,,3,difficult
Under what conditions the gases deviate from the ideal behavior?,,easy,"The behavior of real gases usually agrees with the predictions of the ideal gas equation to within 5% at normal temperatures and pressures. At low temperatures or high pressures, real gases deviate significantly from ideal gas behavior. Ideal behavior is inversely proportional to forces of attraction. Whereas forces of attraction are directly proportional to pressure an inversely proportional to temperature. At low temperature and high pressure, gases will experience force of attraction which makes them deviate from ideal behavior. At low pressure, the moment is slow, so they experience negligible forces of attraction (ideal gas behavior).",,49,High pressure,low temperature,low pressure,both A&B,,,,,4,,4,
Joule’s Thompson effect is shown in:,,moderate,"Joule-Thomson effect is, the change in temperature that accompanies expansion of a gas without production of work or transfer of heat. At ordinary temperatures and pressures, all real gases except hydrogen and helium cool upon such expansion; this phenomenon often is utilized in liquefying gases. In liquids and solids, the molecules absorb energy which results in heat transfer (that energy is used to change the state), So Joule – Thomson effect does not apply.",,49,gases only,solid and gases,liquid and gases,solid liquid and gases,,,,,1,,,
Comment about the types of vibrations present in three phases of matter:,,difficult,"Only B option shows the vibration of molecules correctly. while solids undertake vibrational motion only, in liquid all motion are observed but in restricted manner",,49,molecules undertake translational vibration only in solids,molecules undertake translational rotational and vibrational motion in gases,molecules undertake circular vibrational motion only in solids,molecules undertake restricted translational rotational and vibrational motion in gases,,,,,2,,,
All the following are properties of ideal gases except:,,difficult,"Since the collision between gas molecules is completely elastic, energy is conserved and not lost during collision between gas molecules. The rest of the options are the properties of ideal gases.",,49,small amounts of energy are lost during collision between gas molecules,volume occupied by molecules is negligible compared to the volume occupied by the gas,gas molecules do not interact with each other except during collisions,collisions between gas molecules are completely elastic,,,,,1,,,
"How many diagrams is showing relationships between pressure, volume, and temperature below is/ are incorrect for ideal gases?",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c3_Gases/c3q7.PNG,difficult,"Although the graphs may look daunting, all the relationships can be derived using the ideal gas law, PV=nRT. Just rearrange the variables in the gas law so we can see if there is a positive correlation (on different sides of the equal sign) or a negative correlation (on the same side). For A: P⋅V/T = nR, so this will be a negative correlation. A is false. For B: P = nR.T / V. B is true. For C: V = nR.T/P. C is true. For D: PV = nRT. D is true. One diagram shows an incorrect relationship for ideal gases.",,49,None,only one,only three,only two,,,,,2,,,
"Add a given temperature T and pressure P, a person's lungs hold a set volume of V of air. given that air is roughly 20% oxygen, how many moles of oxygen are in his lungs?",,difficult,"Use the ideal gas law to find $n$ (moles of air).
\[
\mathrm{n}=\mathrm{PV} / \mathrm{RT}
\]
Mole fraction $=$ no. of moles of the gas / total moles of gases present in the container
This includes a mixture of nitrogen, oxygen, and other gases. From the mole fraction rule, we can infer that if the air is $20 \%$ oxygen, $20 \%$ of the total moles must be oxygen molecules. Thus, there are $0.2^{*}(\mathrm{PV} / \mathrm{RT})$ moles of oxygen in his lungs.
",,49,$0.2*(\mathrm{PT} / \mathrm{RV})$,$5*(\mathrm{PT} / \mathrm{RV})$,$0.2*(\mathrm{PV} / \mathrm{RT})$,$5*(\mathrm{PV} / \mathrm{RT})$,,,,,3,,,
Gas found in the environment are most likely to exhibit properties to similar to that of ideal gas under conditions of:,,moderate," Think back to the assumptions of the ideal gas laws. In order to obey the ideal gas laws, we would need to minimize the effects of intermolecular interactions and molecular size of these gases. Thus, the ideal conditions will be under high temperatures (lots of kinetic energy in the molecules to move around and not be experiencing forces from each other) and low pressure (less inhibited to move around). Gases found in the environment are most likely to exhibit properties like that of ideal gases under conditions of high temperatures and low pressures.
",,49,low temperatures and high pressures,high temperatures and high pressures,high temperatures and low pressures,low temperatures and low pressures,,,,,3,,,
Assume an experiment vessel which is well fitted with a piston. the airtight piston has negligible mass and can move up and down freely. there is one mole of an ideal gas contained within the vessel under the piston at pressure of 100Kpa. the piston rests at 10 centimeters from the base of the vessel. the pressure in the vessel increases to 200 kPa as force is applied to the piston what would be the new resting position of the piston from the base of the vessel? Assume the temperature is held constant at three 100K throughout the experiment.,,difficult,"Try using Boyle's Law for this question. $\mathrm{P}_{1} \mathrm{V}_{1}=\mathrm{P}_{2} \mathrm{V}_{2}$. It's important to realize that to find the volume occupied by the gas in this experiment vessel, we would use A (area of the piston) multiplied by h (the height of the piston). We then would have $A h_{2}=P_{1} A h_{1} / P_{2} .$ The surface areas canceled out, and you will have $h_{2}=P_{1} h_{1} / P_{2}$
$\mathrm{h}_{2}=100,000 \times 10 / 200,000=5 \mathrm{cm}$
Substituting in the values, you will get the new resting position as $5 \mathrm{cm}$.",,49,5cm,2cm,1cm,8cm,,,,,1,,,
"Which property is reflected in real gases does the Vander Waals equation attempt to account for by modifying the ideal gas law?
I. Volume
II. Pressure
III. Temperature",,difficult,"Real gases experience intermolecular forces between gas molecules (van der Waals forces). Real gases molecules possess mass. Given that real gases experience intermolecular forces and possess mass, the van der Waals equation attempts to modify the ideal gas law by introducing the constants a and b, which adjusts for the effects of volume and pressure in real gases. (Real gases have lower pressure and higher volume compared to ideal gases) There is no term in the van der Waals equation that adjusts for temperature",,49,II,l and ll,"I, II, and III",l,,,,,2,,,
The introduction of Kelvin scale in thermometric is according to:,,moderate,"Kelvin scale is a scale of temperature with absolute zero as zero, and the triple point of water as exactly 273.16 degrees. Charles’ law is a law stating that the volume of an ideal gas at constant pressure is directly proportional to the absolute temperature. The introduction of Calvin scale thermometric is according to Charles’ law.",,49,Boyles law,Charles law,Dalton's law,Grahams law,,,,,2,,,
"Due to high temperature the gases can be ionized, and free electrons are generated giving us mixture of gas molecules, ions and free electrons. This collection is called:",,moderate,"Plasma is a state of matter in which an ionized gaseous substance becomes highly electrically conductive to the point that long-range electric and magnetic fields dominate the behavior of the matter. The plasma state can be contrasted with the other states: solid, liquid, and gas.",,49,Mixture of gases,gaseous phase substance,highly disordered collection of particles,plasma,,,,,4,,,
The behavior of which of these real gases will be reflected most closely with the ideal gas law?,,easy,"Consider the factors that distinguish real gases from ideal gases (i.e. what the van der Waals equation attempts to consider) Large gas molecules generally possess more volume and intermolecular forces. Carbon dioxide and methane are large molecules, which immediately means more mass in each molecule, causing deviations from ideal gas behavior. Between helium and argon (both monomolecular noble gases), helium is the smaller gas molecule of the two, which similarly will have less of a mass effect, demonstrating closer adherence to the ideal gas law.",,49,Carbon dioxide,argon,methane,helium,,,,,4,,,
"assuming ideal gas properties, which of the following occupies the most volume at 273 Kelvin and one atm of pressure?",,difficult,"273 K and 1 atm of pressure is known as STP, or standard temperature and pressure. At STP, all gases occupy 22.4L volume regardless of the identity of the gas. One mole of nitrogen gas, oxygen gas and hydrogen gas all occupy the same volume at STP assuming ideal gas properties.",,49,One mole of hydrogen gas,they are all occupied the same volume,one mole of oxygen gas,one mole of nitrogen yes,,,,,2,,,
