question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,easy,1
"Choose the word that is most nearly OPPOSITE in meaning to: 
Abstruse",,easy,,,107,Concrete,Obscene,Intelligent,Confident,,,,,1,,,,moderate,2
"Choose the word that is most nearly OPPOSITE in meaning to the word in capital letters.
Accede",,hard,,,107,Forfeit,fortify,Condemn,Acquiescence,,,,,3,,,,hard,3
"Choose the word that is most nearly OPPOSITE in meaning to: 
Accentuate",,hard,,,107,"Meet

","Lighten",Mitigate,Mask,,,,,4,,,,,4
"Choose the word that is most nearly OPPOSITE in meaning to: 
Acclaim",,easy,,,107,"Criticism

"," Acknowledge
",Robust,Initiate,,,,,1,,,,,5
"Choose the word that is most nearly OPPOSITE in meaning to:
Applaud",,easy,,,107,"Approve
","Accolade
","  Criticize", Accustom,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Accommodating",,easy,,,107,"Helpful
","Redundant"," Harbinger
",Alienating,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Accord",,moderate,,,107,"Justify
 
",Verify,"Humiliate",Antagonism,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Accretion",,moderate,,,107,"Decrease
","Deny
"," Object
",Run,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Acquiescence",,hard,,,107,"Connoisseur
","Dissent"," Withdraw
",Hurt,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Acrimony",,easy,,,107,"Intent
 
 ","Bitterness",Civility,Cunning,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Acuity",,easy,,,107,"Inability
","Systematic
 ","Conduit", Corrupt,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Acute",,moderate,,,107,"Civil
"," Obtuse
 ","Heard", Proper,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Adamant",,easy,,,107,"Flexible
"," Conniving"," Convivial", Congenial,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Adept",,easy,,,107,"Insane
"," Affordability
 ","Awkward", Anomaly,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Adhere",,easy,,,107,"Disjoin
","Conform
 ","Control", Comply,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Admonish",,moderate,,,107,"Applaud
","Ridicule
","  Scold
", Cowl,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Array",,hard,,,107,"Concede
"," Deck"," Suppose",Damage,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Adroit",,hard,,,107,"Inept
 
 ",Cute," Curtail",Compose,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Augure",,hard,,,107,"Temper

"," Unfavourable"," Favourable", Contrite,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Adverse",,hard,,,107,"Auspicious
",Scenic  ,"Pillage
",Portend,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Advocate",,moderate,,,107,"Ease
","Appease"," Suppose
",Impugn,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Aerial
",,easy,,,107,"Disguise
","Give",Partake,Ground,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Affable",,moderate,,,107,"Miser
","Social
","Friendly
",Grouchy,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Affection",,easy,,,107,"Complaint
","Dislike
","Quandary",Comeuppance,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Affinity",,hard,,,107,Limitedness,Gratitude,"Dissimilarity",Providence,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Opulent",,easy,,,107,Destitute,Wealth,Manor,Hope,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Wealthy",,easy,,,107,"Connoisseur
  
 ","Quaint",Imbecile,Impoverished,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Affront",,hard,,,107,Appeasement,Insult,"Counter",Debase,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Aggregate",,easy,,,107,Individual,"Counter",Coincidence,Demean,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to: 
Aggrieved",,moderate,,,107,Afflicted,Determined,Gauge,Happy,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Agile ",,easy,,,107,Clumsy,Coerce,Blatant,Blunt,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Limber",,hard,,,107,Brutal,Forceful,Stiff,Engaged,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Agnostic",,easy,,,107,Deleterious,Fortunate,Believer,Reminiscent,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Able",,easy,,,107,Inept,Cooperate,Condemn,Decry,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Alarity",,moderate,,,107,Alias,Aversion,Fervor,Avidity,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Reduce",,easy,,,107,Intensify,Minimize,Mitigate,Quite,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Alleviate",,easy,,,107,Aggravate,Condemn,Help,Assist,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Assuage",,easy,,,107,Intensify,Control,Hold,Pristine,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Allot",,easy,,,107,Inquire,Keep,Convey,Sling,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Aloof",,easy,,,107,Concerned,Contained,Awkward,Casual,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Altercation",,hard,,,107,Coincidental,Opine,Concord,Immediate,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Blend",,easy,,,107,Uppity,Brawl,Separate,Hint,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Coalesce",,hard,,,107,Deny,Greet,Stay,Divide,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Ambiguous",,easy,,,107,Enigmatic,Pleasant,Upscale,Clear,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Cryptic",,moderate,,,107,Dubious,Precious,Calumny,Lurid,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Ambivalent",,easy,,,107,Confused,Contentious,Hostile,Definite,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Ameliorate",,moderate,,,107,Span,Giant,Oppose,Worsen,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Amenable",,hard,,,107,Deception,Irresponsible,Perceptive,Convenient,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Amenity",,hard,,,107,Abomination,Condolence,Catalyst,Freedom,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Etiquette",,easy,,,107,Misbehavior,Misgiving,Adroit,Hopeless,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Affable",,moderate,,,107,Downtrodden,Destitute,Sourly,Horrifying,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Accordant",,moderate,,,107,Hostile,Honorable,Disreputable,Aligned,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Amorous",,hard,,,107,Loving,Obedient, Cold,Forgetful,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Amorphous",,hard,,,107,Distinct,Miserly,Grumpy, Happy,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Analogous",,hard,,,107,Hard, Lucid,"Compact", Disparate,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Candor",,easy,,,107,Relish,"Awake",Unwind,Deceptive,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Capacious",,hard,,,107,Cramped,Spacious, Hinder,Obsolete,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Capitulate",,hard,,,107,Bow,Give in,"Succeed",Fight,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Capricious",,hard,,,107,Mercurial,Harbor,Harness,Constant,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Allure",,easy,,,107,Rehabilitate,"Disgust","Obese
",Speak,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Carouse",,easy,,,107,Grieve ,Habit,Profound,Pride,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Caustic",,hard,,,107,Assertive,Haughty,"Mild",Garrulous,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Censure",,hard,,,107,Scold,Derive,Insult,Ridicule,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Chastise",,hard,,,107,"Cheer
","Berate
","Scream",Abide,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Cherish",,easy,,,107,"Forestall
","Abandon","Oblique",Obsequious,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Circuitous",,moderate,,,107,Direct,Offend,"Appease
",Innovate,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Circumlocution",,hard,,,107,Straight,"Terse",Comprehend,Defray,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Circumscribe",,moderate,,,107,Free,Emulate, Mark, Fear,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Cagey",,hard,,,107,Audacious,"Hurried
","Fanciful
",Lost,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Copious",,hard,,,107,"Lacking
","Fundamental
","Untrue",Decipher,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Validate",,easy,,,107,"Approve
","Install
","Portliness",Contradict,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Cursory",,moderate,,,107,"Insulting
","Crude
","Objectionable
",Meticulous,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Laconic",,hard,,,107,Succinct,"Brusque",Berate,Loquacious,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Dearth",,easy,,,107,"Insightful
","Daunt
","Jaunty",Abundance,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Debacle",,easy,,,107,Miracle,Catastrophe,"Insurgency",Morality,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Debase",,hard,,,107,Synonymous,"Elevate",Hyper,Opponent,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Debunk",,easy,,,107,Debauch,Improve,Prove,Alert,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Decorous",,easy,,,107,Impolite,Impromptu,"
Imperceptible",Amenable,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Decry",,moderate,,,107,Exalt,"Jaunty
","Excited
",Literate,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Defer",,moderate,,,107,Hide,"Shake",Tell,Advance,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Courteous",,easy,,,107,Impatient,Importunate,"Gratifying",Disrespectful,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Adulterate",,easy,,,107,"Contaminate
","Purify
","Obliterate",Corrupt,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Inanimate",,easy,,,107,"Inept
","Alive
","Stolen
",Boundary,,,,,2,,,,,
