question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,correct_choice
Warren makes tea.,,moderate,"Rule to make active voice of Simple present sentence :
Passive subject + is/are/am + third form of verb + by + passive object.",,105,Tea is made by Warren.,Tea is made by the Warren.,Tea was made by Warren.,Tea has made by Warren.,1
My father loves me.,,moderate,"Rule to make active voice of Simple present sentence : 
Passive subject + is/are/am + third form of verb + by + passive object. ",,105,I loved my father.,I was loved by my father.,I were loved by my father.,I am loved by my father.,4
He is making a film.,,moderate,"Rule to make active voice of Present Continuous Tense : 
Passive subject + is/are/am + being + third form of verb + by + passive object.",,105,A film is made by him,A film had being made by him,A film is being made by him.,A film has being made by him.,3
Shane is singing a song.,,moderate,"Rule to make active voice of Present Continuous Tense : 
Passive subject + is/are/am + being + third form of verb + by + passive object.",,105,A song has been being sung by Shane.,A song is sung by Shane.,A song has being sung by Shane.,A song is being sung by Shane.,4
My friends are watching the match.,,moderate,"Rule to make active voice of Present Continuous Tense : 
Passive subject + is/are/am + being + third form of verb + by + passive object.",,105,The match is watched by my friends.,The match had being watched by my friends.,The match is being watched by my friends.,The match has being watched by my friends.,3
My father has solved this matter.,,moderate,"Rule to make active voice of Present Perfect Tense 
Passive subject + has/have + been + third form of verb + by + passive object.",,105,This matter have been solved by my father.,This matter is solved by my father.,This matter has been solved by my father.,This matter had been solved by my father.,3
Lilly has written these notes.,,moderate,"Rule to make active voice of Present Perfect Tense 
Passive subject + has/have + been + third form of verb + by + passive object.
Please note the use of ""has/have"" ",,105,These notes are written by Lilly.,These notes has been written by Lilly.,These notes have been written by Lilly.,These notes had been written by Lilly.,3
Someone has stolen his book.,,moderate,"Apart from Rule to make active voice of Present Perfect Tense, which is
Passive subject + has/have + been + third form of verb + by + passive object
Please also note that words like, ""someone"", ""somebody"", ""people"", ""police"", ""public"" etc are dropped. But in rare cases we can use them if sentence meaning is not clear.",,105,His book is been stolen.,His book has been stolen,His book is stolen.,His book has stolen.,2
I have given him a perfume.,,moderate,Passive subject + has/have + been + third form of verb + by + passive object,,105,A perfume have been given to him by me.,A perfume has been given to him by me.,A perfume had been given to him by me.,A perfume was given to him by me.,2
He stole that watch.,,moderate,"Rule to make active voice of Simple Past Tense :
Passive subject + was/were + third form of verb + by + passive object",,105,That watch was stolen by him.,That watch stolen by him.,That watch stole by him,That watch had stolen by him.,1
Sam spoke the lie.,,moderate,"Rule to make active voice of Simple Past Tense :
Passive subject + was/were + third form of verb + by + passive object.",,105,The lie was spoke by Sam.,The lie spoken by Sam.,Lie was spoken by Sam.,The lie was spoken by Sam.,4
Thief killed him.,,moderate,"Rule to make active voice of Simple Past Tense
Passive subject + was/were + third form of verb + by + passive object",,105,He was kill by the thief.,He killed by the thief.,He was killed by the thief.,He was killed.,3
The police caught the culprit.,,moderate,"Rule to make active voice of Simple Past Tense
Passive subject + was/were + third form of verb + by + passive object",,105,The culprit were caught be the police,The culprit was caught be the police.,The culprit caught be the police.,The culprit had caught be the police.,2
He was writing a love letter.,,moderate,"Rule to make active voice of Past Continuous Tense
Passive subject + was/were + being + third form of verb + by + passive object ",,105,A love letter had being written by him.,A love letter being written by him.,A love letter was written by him.,A love letter was being written by him.,4
The farmer was ploughing the fields.,,moderate,"Rule to make active voice of Past Continuous Tense
Passive subject + was/were + being + third form of verb + by + passive object ",,105,The fields was being ploughed by the farmer.,The fields were being ploughed by the farmer.,The fields were ploughed by the farmer.,The fields were being ploughed by farmer.,2
