question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,,,,
Newton’s laws is not valid for particle which,,easy,"Newton law is not valid for the object moving comparable to the
speed of light. In order to explain particle moving with speed of light, we use Einstein
theory.",,28,are at rest,are moving slowly,are moving with speed comparable to the speed of light,moving with high velocity,,,,,3,,,,,,,
A ball is thrown up and after 2 sec it reached the ground. What will be the maximum height?,,difficult,"We know that
\[
t=\left(2 v_{i} \sin \theta\right) / g
\]
where $v_{i}$ is the initial velocity $g$ is the gravitational constant $t$ is the time taken by the
projectile
putting $t=2 s$
\[
\begin{array}{l}
(2 \times 9.8) / 2=v_{i} \sin \theta \\
v_{i} \sin \theta=9.8
\end{array}
\]
We also know that
\[
\mathrm{h}=\mathrm{v}_{\mathrm{i}}^{2}\left(\sin ^{2} \theta\right) / 2 \mathrm{g}
\]
$\mathrm{h}$ is the height of projectile
Now by putting the values
$\mathrm{h}=(9.8)^{2} / 2(9.8)$
$\mathrm{h}=4.9 \mathrm{m}$",,28,12.6m,8.5m,4.9m,6.2m,,,,,3,,,,,,,
 In order to get maximum range at what angle should the ball be thrown,,difficult,"We know that
\[
\mathrm{R}=\mathrm{v}_{\mathrm{i}}^{2} \sin 2 \theta / \mathrm{g}
\]
where $v_{i}$ is the initial velocity $g$ is the gravitational constant $R$ is the range of prijectile
From the above equation we need to maximize $R,$ which means maximize $\sin 20$
We know that in order to have maximum value
$\sin 2 \theta=1$
$\theta=45$",,28,45,60,90,0,,,,,1,,,,,,,
" A car covers 40km with average speed of 80km/h, then travels 40km with an average speed of 40km/h. The average speed of car in the trip of 80km is",,difficult,"We know the formula of average speed
Average velocity $=2 \mathrm{v}_{1} \mathrm{v}_{2} /\left(\mathrm{v}_{1}+\mathrm{v}_{2}\right)$
$=2(80)(40) /(40+80)$
$=53.33 \mathrm{m} / \mathrm{s}$",,28,40km/h  ,45km/h  ,48km/h,53km/h,,,,,4,,,,,,,
Distance travelled by a freely fall object in 2 sec will be,,moderate,"A body is falling freely which means the acceleration is g
g = 9.8m/sec
It means that a body covers 9.8 meters in 1 second. 
And it will covers 19.6m in 2 seconds.",,28,4.9m,39.2m,19.6m,44.1m,,,,,3,,,,,,,
When two bodies move towards each other with constant speeds the distance between them decreases at a rate of 6m/sec. If they move in the same direction the distance between them increases at the rate 4m/sec. Then their speeds are,,moderate,"By given condition
\[
\begin{array}{l}
\mathrm{v}_{1}+\mathrm{v}_{2}=6 \mathrm{m} / \mathrm{s} \\
\mathrm{v}_{1}-\mathrm{v}_{2}=4 \mathrm{m} / \mathrm{s}
\end{array}
\]
By adding both equation
$\mathrm{v}_{1}=5 \mathrm{m} / \mathrm{s}$
Also $\mathrm{v}_{2}=1 \mathrm{m} / \mathrm{s}$",,28,"5m/s, 1m/s","3m/s, 3m/s","6m/s, 1m/s","4m/s, 2m/s",,,,,1,,,,,,,
" If two balls of different masses and same radius are thrown from same height, then time taken by both of them to reach the ground will be",,easy,Both ball fall freely and have same acceleration constant that is g which is constant and has no effect by taking different masses.,,28,equal,zero,unequal,None,,,,,1,,,,easy,moderate,difficult,
 Which one of the following is not the example of projectile motion?,,easy,Balloon filled with gas forms an irregular trajectory. So it is not the example of projectile motion. A projectile motion is the motion in which a body moves upwards with some initial velocity and then fall to ground under the action of gravity.,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3e8.PNG,28,football kick,balloon filled with gas,base ball shot,Bullet fired from gun,,,,,2,,,,1,2,3,4
"What is true about the system, if the collision between the bodies is inelastic",,easy,In an inelastic collision the KE is not conserved. But the momentum remains conserve,,28,Momentum changes but KE remains conserve  ,KE changes but momentum remains conserve,KE and momentum changes,KE and momentum conserve,,,,,2,,,,,,,
The range of the projectile at 30 is $\mathrm{R}_{1}$ and at 60 is $\mathrm{R}_{2}$ then,,moderate,KE and momentum conserve,,28,$R_{1=} R_{2}$,$\mathrm{R}_{1}=2 \mathrm{R}_{2}$,$2 \mathrm{R}_{1}=\mathrm{R}_{2}$,$R_{1}=R_{2}(\text { if the initial velocities are same })$,,,,,4,,,,,,,
 The water strikes the wall normally with the speed of 10m/s and discharge at the rate of 0.1 \mathrm{kgs}^{-1}. The force experienced by the wall is ,,moderate,"We know that,
\[
\mathrm{F}=\mathrm{ma}=\mathrm{mv} / \mathrm{t}
\]
$\mathrm{F}$ is the force $\mathrm{m}$ is the mass $\mathrm{v}$ is the velocity a is the acceleration
$\mathrm{F}=(0.1)(10)$
$\mathrm{F}=1 \mathrm{N}$",,28,1N,10N,100N,None of these,,,,,1,,,,,,,
 Time rate of change of momentum is equal to,,easy,"We know that
\[
\text { Impulse }=\mathrm{mv}_{f}-\mathrm{mv}_{\mathrm{i}}=\mathrm{F} \times\mathrm{t}
\]
$\mathrm{F}$ is the force $\mathrm{t}$ is the time $\mathrm{m}$ is the mass vf is the final velocity vi is the initial velocity
$\mathrm{F}=\left(\mathrm{mv}_{\mathrm{f}}-\mathrm{mv}\right) \mathrm{t}$",,28,Force,Impulse,Velocity,None,,,,,1,,,,,,,
" The distance covered by the body with the uniform acceleration in time t starting from rest i
",,moderate,"By using the equation of motion
\[
\mathrm{S}=\mathrm{v}_{\mathrm{i}} \mathrm{t}+(1 / 2) \mathrm{at}^{2}
\]
where $v_{i}$ is the initial velocity $S$ is the distance a is the acceleration $t$ is the time
$v_{i}=0$ as body was at rest
$\mathrm{So}$
$\mathrm{S}=(1 / 2) \mathrm{at}^{2}$",,28,$\mathrm{at}^{2} / 2$,$v\times t$,$a^{2}t/2$,both a and $b$,,,,,1,,,,,,,
Rockets lifts from the ground because hot air with high velocity,,easy,The lifting of rocket is based on Newton 3 law of motion. The action takes place which is hot air react against the rocket and as a reaction the rockets lift up,,28,push against the earth,push against the air,react against the rocket and push it up,heat the surround air which help it lift,,,,,3,,,,,,,
Momentum depends upon,,easy,"We know that
Momentum = p = mv
So it depends on the mass and velocity",,28,Force,Velocity,Mass,Both mass and velocity,,,,,4,,,,,,,
 Ali travel 2m with the velocity of v1 and the other 2m with the velocity of $v_2$. Then the average velocity will be,,easy,Formula to calculate average velocity,,28,\left(v_{1}+v_{2}\right) / 2,\left(\mathrm{v}_{1} \mathrm{v}_{2}\right) / 2,\mathrm{v}_{1} \mathrm{v}_{2} /\left(\mathrm{v}_{1}+\mathrm{v}_{2}\right),2 v_{1} v_{2} /\left(v_{1}+v_{2}\right),,,,,4,,,,,,,
 A particle of mass m moving with velocity v strikes a stationary particle of mass 2m and sticks to it then the velocity of the system will be,,difficult,"By using law of conservation of momentum
\[
\mathrm{m}_{1} \mathrm{v}_{1}+\mathrm{m}_{2} \mathrm{v}_{2}=\mathrm{m}_{1} \mathrm{v}_{1}+\mathrm{m}_{2} \mathrm{v}_{2}
\]
by given condition
$v_{1}^{\prime}=v_{2}$
$\mathrm{mv}+0=\mathrm{m} \mathrm{v}^{\prime}+2 \mathrm{mv}$
$v^{\prime}=v / 3$",,28,v/2,v,v/3,3v,,,,,3,,,,,,,
"A body is fall freely, then the distance travelled by the body from 1 to 2 second taking g =10 is?
Hint: use equation of motion",,difficult,"We know that
\[
\mathrm{S}=\mathrm{v}_{\mathrm{i}} \mathrm{t}+(1 / 2) \mathrm{at}^{2}
\]
where $v_{i}$ is the initial velocity
Initial velocity is zero
\[
\begin{array}{l}
S=(1 / 2)(10)(2)^{2} \\
S=20 m
\end{array}
\]
So this is the distance travel by the body from 0 to 2 seconds
\[
\mathrm{S}=\mathrm{v}_{\mathrm{i}} \mathrm{t}+(1 / 2) \mathrm{at}^{2}
\]
Initial velocity is zero
\[
\begin{array}{l}
S=(1 / 2)(10)(1)^{2} \\
S=5 m
\end{array}
\]
So this is the distance travel by the body from 0 to 1 seconds
Subtracting both
$\mathrm{S}=20-5=15 \mathrm{m}$",,28,10m,25m,20m,15m,,,,,4,,,,,,,
When two bodies stick together after collision then it is said to be ,,easy,When the bodies stick together after collision then its said to be completely inelastic as KE is not conserved in that collision,,28,partially elastic,perfectly elastic,completely inelastic,None of these,,,,,3,,,,,,,
1 law of motion gives the definition of ,,easy,"First law of motion defines force. As Newton said, a body at rest or in motion will remain in at rest or in motion without any external force acting on the body.",,28,Force,Motion,Velocity,Rest,,,,,1,,,,,,,
" At maximum height on the trajectory of projectile, what become zero",,moderate,At maximum height the ball or any object has stopped moving upward and so the velocity controlling the vertical path that is vertical velocity becomes zero.,,28,acceleration,velocity,vertical velocity,horizontal velocity,,,,,3,,,,,,,
When a body travels in a straight line then its displacement coincides with,,easy,"Displacement is the shortest distance between two points. While, distance is any random path . Displacement and distance can coincide with each other when a body moves in a straight line.",,28,Distance,Velocity,acceleration,None,,,,,1,,,,,,,
A car move from Lahore to Karachi with the velocity of 40km/h and come back with the velocity of 50km/h. What is the average velocity,,moderate,"We know the formula of average speed
Average velocity $=2 \mathrm{v}_{1} \mathrm{v}_{2} /\left(\mathrm{v}_{1}+\mathrm{v}_{2}\right)$
\[
=2(50)(40) /(40+50)
\]
$=48 \mathrm{m} / \mathrm{s}$",,28,45km/h,40km/h,48km/h,0,,,,,4,,,,,,,
Newton first law is also known as law of,,easy,"Newton first law is also known as law of inertia as it states that
“The mass of the object is the quantitative measure of inertia”",,28,Inertia,Mass,Energy,Momentum,,,,,1,,,,,,,
For a moving object which one is correct?,,moderate,For moving object the distance can never be zero as the object is moving covering some distance but the displacement can be zero when the body moves in a closed path.,,28,distance can never be zero,displacement can be zero,distance and displacement is zero,Both A and B,,,,,4,,,,,,,
